tactic_id,tactic_name,step_count,specific_count,chunk_count,retry_count,timestamp
T220,"Follow up on late payments",12,9,1,0,2025-11-19T12-07-30-969Z
T259,"Price beds to leave resident with PNA",13,10,1,0,2025-11-19T12-07-30-969Z
T333,"Automate rent collection (ACH/auto-debit)",13,8,1,0,2025-11-19T12-07-30-969Z
T266,"Track all income in accounting software",13,8,1,0,2025-11-19T12-07-30-969Z
T318,"Update contracts with changing regulations",13,10,1,0,2025-11-19T12-07-30-969Z
T356,"Network with creative real estate investors",11,6,1,0,2025-11-19T12-07-30-969Z
T261,"Set competitive rates ($650-$850/month Houston benchmark)",11,10,1,0,2025-11-19T12-07-30-969Z
T306,"Build relationships with contractors (plumbers, HVAC, etc.)",13,9,1,0,2025-11-19T12-07-30-969Z
T309,"Keep receipts for all maintenance expenses",13,8,1,0,2025-11-19T12-07-30-969Z
T264,"Aim for max capacity cash flow",11,10,1,0,2025-11-19T12-07-30-969Z
T269,"Budget utilities ($400-600/month for 6-bed home)",13,11,1,0,2025-11-19T12-07-30-969Z
T288,"Transition from rental arbitrage to ownership by year 2",11,11,1,0,2025-11-19T12-07-30-969Z
T310,"Maintain 6 months operating expenses in reserve",13,11,1,0,2025-11-19T12-07-30-969Z
T326,"Train staff on SOPs",13,7,2,1,2025-11-19T12-07-30-969Z
T304,"Respond to maintenance requests within 24 hours",12,6,1,0,2025-11-19T12-07-30-969Z
T316,"Maintain adequate insurance coverage",13,9,1,0,2025-11-19T12-07-30-969Z
T317,"Review lease agreements annually",13,11,1,0,2025-11-19T12-07-30-969Z
T330,"Provide feedback and coaching",12,6,2,0,2025-11-19T12-07-30-969Z
T331,"Document staff issues in writing",12,9,2,2,2025-11-19T12-07-30-969Z
T332,"Use property management software (if scaling)",13,10,1,0,2025-11-19T12-07-30-969Z
T337,"Create email templates (referral follow-ups)",13,8,1,0,2025-11-19T12-07-30-969Z
T355,"Partner with Millionaires Essentials for credit repair",12,11,1,0,2025-11-19T12-07-30-969Z
T251,"Renew insurance policies",12,9,1,0,2025-11-19T12-07-30-969Z
T252,"Conduct comprehensive property inspection",12,7,1,0,2025-11-19T12-07-30-969Z
