Document ID,Document Name,Tactic ID,Tactic Name,Confidence,Suggested Link Type,Match Reasons
3,"Landlord Script .pdf",T123,"Design landlord pitch flyer (business case)",44,supplemental,"Category match: marketing → Marketing & Lead Generation | Keyword overlap: 14%"
3,"Landlord Script .pdf",T422,"Pain Point Marketing Script (CMS Readmission Penalty Leverage)",44,supplemental,"Category match: marketing → Marketing & Lead Generation | Keyword overlap: 13%"
3,"Landlord Script .pdf",T022,"Create Business Email",40,supplemental,"Category match: marketing → Digital Marketing"
3,"Landlord Script .pdf",T020,"Create Digital Footprint (Website, Google Business Profile)",40,supplemental,"Category match: marketing → Digital Marketing"
3,"Landlord Script .pdf",T106,"Identify reentry organizations (formerly incarcerated)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T104,"Identify nonprofit housing organizations",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T107,"Identify mental health treatment centers",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T113,"Identify Department of Corrections parole offices",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T115,"Connect with case managers (minimum 50 contacts)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T114,"Connect with social workers (minimum 50 contacts)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T112,"Identify homeless shelters",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T103,"Identify county social services departments",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T116,"Connect with discharge planners (minimum 50 contacts)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T111,"Identify Adult Protective Services contacts",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T110,"Identify hospitals (discharge planners)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T108,"Identify substance abuse treatment centers",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T105,"Identify veteran assistance programs",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T109,"Identify nursing homes/rehab facilities",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T102,"Create target referral source spreadsheet",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T125,"Include business contact info and website",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T424,"State Psychiatric Hospital Partnership Development",40,supplemental,"Category match: marketing → Marketing Strategy"
3,"Landlord Script .pdf",T425,"Prison Reentry Housing Program Enrollment",40,supplemental,"Category match: marketing → Marketing Strategy"
3,"Landlord Script .pdf",T128,"Create digital flyers (email/text)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T124,"Include photos of staged beds in flyers",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T120,"Design DOC/reentry flyer (address parole requirements)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T438,"Disability Rating Veteran Targeting",40,supplemental,"Category match: marketing → Marketing Strategy"
3,"Landlord Script .pdf",T127,"Print physical flyers (for in-person distribution)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T122,"Design nursing home flyer (discharge placement focus)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T117,"Design general housing flyer (one-size-fits-all)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T119,"Design mental health hospital flyer (tailored language)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T121,"Design LGBTQ+ community flyer (safe space messaging)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T407,"After-Hours Voicemail Marketing Campaign",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T426,"Jail Diversion Mental Health Court Coordination",40,supplemental,"Category match: marketing → Marketing Strategy"
3,"Landlord Script .pdf",T118,"Design VA-specific flyer (veteran pain points)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T126,"Include photos of yourself (build trust)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T143,"Focus on newly homeless (higher conversion rate)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T137,"Visit banks on 1st and 3rd of month (Direct Express card holders)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T145,"Distribute flyers at laundromats (low-income areas)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T141,"Target people aged 65+ who appear homeless",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T144,"Distribute flyers at community centers",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T140,"Approach people with large backpacks/suitcases (newly homeless)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T139,"Visit nonprofit feeding events (Sundays, biscuits/gravy days)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T146,"Distribute flyers at public libraries",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T142,"Avoid chronically homeless camps (lower conversion rate)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T147,"Post flyers on community bulletin boards",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T138,"Visit homeless shelters (identify 65+ population)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T181,"Determine if resident needs representative payee",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T185,"Ask about medical conditions requiring care",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T172,"Request proof of income (award letter, bank statement)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T151,"Create Facebook business page",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T155,"Post testimonials and reviews",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T148,"Create professional website with intake forms",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T178,"Check if resident has severe substance abuse issues",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T159,"Run Google Ads (local search terms)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T183,"Check criminal history (most backgrounds accepted)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T180,"Assess if resident has intellectual disability level (IDD)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T174,"Calculate personal needs allowance (must leave with them)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T176,"Check if resident is oriented (name, location, time)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T184,"Verify no active warrants",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T158,"Run Facebook ads (target 50-mile radius, 55+ age)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T171,"Verify guaranteed income (SSI, Social Security, VA disability)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T173,"Verify income amount meets bed pricing",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T177,"Check if resident has severe mental health issues requiring 24/7 care",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T175,"Check if resident can self-evacuate",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T182,"Check background (sex offender status okay if disclosed)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T149,"Set up Google Business Profile",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T150,"Optimize for local SEO (e.g., "group home Houston")",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T152,"Post daily marketing content (Net Effect screenshots)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T153,"Join relevant Facebook groups (housing, reentry, veterans)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T154,"Share success stories (with resident permission)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T156,"Create YouTube channel (optional, education content)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T157,"Use Instagram Stories to show daily operations",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T179,"Assess if resident is open to medical clearance",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T428,"After-Hours Voicemail Marketing Protocol",40,supplemental,"Category match: marketing → Marketing Strategy"
3,"Landlord Script .pdf",T430,"Bandit Sign Legal Compliance by State",40,supplemental,"Category match: marketing → Marketing Strategy"
3,"Landlord Script .pdf",T405,"Lunch and Learn Hospital Marketing Campaign",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T410,"VA Housing Pipeline Development for Veterans",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
3,"Landlord Script .pdf",T423,"Returning Citizen Pipeline (Prison Director Relationship Building)",40,supplemental,"Category match: marketing → Marketing & Lead Generation"
4,"Proof_of_residency_Food_Stamps",T004,"Business Entity Formation (LLC Setup)",46,supplemental,"Category match: compliance → Legal & Compliance | Description relevance: 4% | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T006,"Insurance Coverage Setup (General Liability + Property)",46,supplemental,"Category match: compliance → Legal & Compliance | Description relevance: 3% | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T014,"Health Department Inspection Preparation",46,supplemental,"Category match: compliance → Legal & Compliance | Description relevance: 4% | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T419,"Forward Phone System Setup (Open Phone App Delegation)",46,supplemental,"Category match: compliance → Operations & Compliance | Description relevance: 4% | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T421,"6-Point Resident Vetting System (Structured Assessment)",46,supplemental,"Category match: compliance → Operations & Compliance | Description relevance: 5% | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T024,"Verify Zoning Laws for Target Neighborhoods",45,supplemental,"Category match: compliance → Legal & Compliance | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T012,"Zoning Law Verification & Variance Process",45,supplemental,"Category match: compliance → Legal & Compliance | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T023,"Understand Unlicensed Home Requirements for Your State",45,supplemental,"Category match: compliance → Legal & Compliance | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T005,"State Licensing Requirements Research",45,supplemental,"Category match: compliance → Legal & Compliance | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T013,"Fire Marshal Inspection Preparation",45,supplemental,"Category match: compliance → Legal & Compliance | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T017,"Open Business Bank Account",45,supplemental,"Category match: compliance → Legal & Compliance | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T016,"Get EIN (Employer Identification Number)",45,supplemental,"Category match: compliance → Legal & Compliance | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T418,"Face Sheet Emergency Protocol Documentation",45,supplemental,"Category match: compliance → Operations & Compliance | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T437,"Non-Compete Agreement Enforcement with Partners",45,supplemental,"Category match: compliance → Legal Protection | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T080,"Install smoke detectors in every room",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T090,"Test all outlets and electrical systems",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T083,"Create fire evacuation plan (post in common areas)",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T082,"Install fire extinguishers (kitchen, hallways)",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T086,"Install security cameras (common areas only, not bedrooms)",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T087,"Ensure wheelchair accessibility if serving mobility-limited residents",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T089,"Secure hazardous materials (cleaning supplies)",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T085,"Install locks on bedroom doors (privacy + security)",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T088,"Check water heater temperature (prevent scalding)",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T081,"Install carbon monoxide detectors",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
4,"Proof_of_residency_Food_Stamps",T084,"Ensure all residents can self-evacuate (legal requirement)",45,supplemental,"Category match: compliance → Staffing & Resident Care | Ownership context: llc"
5,"Shared_Living_Agreement",T437,"Non-Compete Agreement Enforcement with Partners",49,supplemental,"Category match: legal → Legal Protection | Keyword overlap: 14% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T080,"Install smoke detectors in every room",48,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 13% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T090,"Test all outlets and electrical systems",48,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 13% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T082,"Install fire extinguishers (kitchen, hallways)",48,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 13% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T089,"Secure hazardous materials (cleaning supplies)",48,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 13% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T081,"Install carbon monoxide detectors",48,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 13% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T083,"Create fire evacuation plan (post in common areas)",47,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 11% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T086,"Install security cameras (common areas only, not bedrooms)",47,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 11% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T087,"Ensure wheelchair accessibility if serving mobility-limited residents",47,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 11% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T085,"Install locks on bedroom doors (privacy + security)",47,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 12% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T088,"Check water heater temperature (prevent scalding)",47,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 12% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T084,"Ensure all residents can self-evacuate (legal requirement)",47,supplemental,"Category match: legal → Staffing & Resident Care | Description relevance: 12% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T024,"Verify Zoning Laws for Target Neighborhoods",46,supplemental,"Category match: legal → Legal & Compliance | Description relevance: 3% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T012,"Zoning Law Verification & Variance Process",46,supplemental,"Category match: legal → Legal & Compliance | Description relevance: 3% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T023,"Understand Unlicensed Home Requirements for Your State",46,supplemental,"Category match: legal → Legal & Compliance | Description relevance: 3% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T005,"State Licensing Requirements Research",46,supplemental,"Category match: legal → Legal & Compliance | Description relevance: 3% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T006,"Insurance Coverage Setup (General Liability + Property)",46,supplemental,"Category match: legal → Legal & Compliance | Description relevance: 3% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T418,"Face Sheet Emergency Protocol Documentation",46,supplemental,"Category match: legal → Operations & Compliance | Description relevance: 7% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T419,"Forward Phone System Setup (Open Phone App Delegation)",46,supplemental,"Category match: legal → Operations & Compliance | Description relevance: 4% | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T013,"Fire Marshal Inspection Preparation",45,supplemental,"Category match: legal → Legal & Compliance | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T017,"Open Business Bank Account",45,supplemental,"Category match: legal → Legal & Compliance | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T004,"Business Entity Formation (LLC Setup)",45,supplemental,"Category match: legal → Legal & Compliance | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T016,"Get EIN (Employer Identification Number)",45,supplemental,"Category match: legal → Legal & Compliance | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T014,"Health Department Inspection Preparation",45,supplemental,"Category match: legal → Legal & Compliance | Ownership context: nonprofit"
5,"Shared_Living_Agreement",T421,"6-Point Resident Vetting System (Structured Assessment)",45,supplemental,"Category match: legal → Operations & Compliance | Ownership context: nonprofit"
6,"Confidentiality_form_.pdf",T004,"Business Entity Formation (LLC Setup)",46,supplemental,"Category match: compliance → Legal & Compliance | Description relevance: 4% | Ownership context: individual, llc, corporation, nonprofit"
6,"Confidentiality_form_.pdf",T006,"Insurance Coverage Setup (General Liability + Property)",46,supplemental,"Category match: compliance → Legal & Compliance | Description relevance: 3% | Ownership context: individual, llc, corporation, nonprofit"
